TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_Test_ROC_AUC,MTL_Test_ROC_AUC,Delta_ROC_AUC,Single_F1
ZNF493,GSM2827531,165,MTL,30,0.9387343286829295,0.9589350303228088,0.020200701639879304,0.7468030690537084
ZNF496,GSM2466576,26,Single,1,0.8642857142857143,0.9095238095238096,0.0452380952380953,0.7777777777777778
ZNF501,GSM5213997,248,MTL,3,0.9637764444444443,0.9662383333333332,0.0024618888888888746,0.8962169400736525
ZNF502,GSM2026839,248,MTL,3,0.89288084965151,0.816793893129771,-0.07608695652173902,0.7529411764705882
ZNF503,GSM5215606,729,Single,1,0.9614208333333332,0.9566155555555556,-0.004805277777777617,0.9049115263767157
ZNF506,GSM2466577,165,MTL,30,0.9837769619091327,0.9857635000764876,0.0019865381673549454,0.9278350515463918
ZNF510,GSM3634206,294,Single,1,0.9651767025089606,0.966773476702509,0.0015967741935484225,0.8628539700166574
ZNF511,GSM2533962,680,Single,1,0.9523948888888888,0.9518266666666666,-0.0005682222222221922,0.8807991872671859
ZNF512B,GSM5214464,493,Single,1,0.9516603333333332,0.9492856666666664,-0.002374666666666858,0.8672191853288662
ZNF512,GSM2423713,492,Single,1,0.9328204444444446,0.9331868888888888,0.00036644444444422497,0.8479972013293685
ZNF513,GSM5215101,350,Single,1,0.97455550918197,0.9741039232053422,-0.00045158597662775524,0.9048800661703887
ZNF514,GSM2828998,197,Single,1,0.9628887218045112,0.9624942355889724,-0.0003944862155388362,0.8427249789739276
ZNF516,GSM2583862,73,Single,1,0.83562306501548,0.8541989164086687,0.018575851393188736,0.6176470588235294
ZNF518A,GSM2423106,469,Single,1,0.952232,0.953245888888889,0.0010138888888889808,0.8831928436263548
ZNF519,GSM2466578,170,Single,1,0.9841901666666666,0.9842605555555556,7.038888888899475e-05,0.9385603689672212
ZNF524,GSM2827213,20,Single,1,0.9679272222222222,0.967896,-3.1222222222182516e-05,0.9029194512838551
ZNF525,GSM2466579,156,MTL,12,0.9619196036122432,0.9749360664908496,0.013016462878606472,0.9125
ZNF526,GSM5215619,360,Single,1,0.9727314444444445,0.9705062777777776,-0.0022251666666668335,0.9157340355497038
